algorithm,size,random_time,partial_random1_time,partial_random2_time
merge,10,0.00000095,0.00000060,0.00000070
merge,30,0.00000190,0.00000160,0.00000190
merge,50,0.00000390,0.00000295,0.00000315
merge,100,0.00000725,0.00000545,0.00000635
merge,500,0.00004080,0.00002940,0.00003615
merge,1000,0.00008410,0.00005845,0.00007080
merge,10000,0.00103160,0.00069455,0.00082880
merge,100000,0.01220060,0.00812765,0.00955915
merge,1000000,0.13641800,0.09043000,0.10348600
merge,10000000,1.56927100,1.02761500,1.20692300
merge3,10,0.00000035,0.00000020,0.00000020
merge3,30,0.00000075,0.00000020,0.00000055
merge3,50,0.00000125,0.00000035,0.00000120
merge3,100,0.00000310,0.00000070,0.00000245
merge3,500,0.00002105,0.00000460,0.00001635
merge3,1000,0.00004900,0.00001105,0.00003755
merge3,10000,0.00070610,0.00015615,0.00051895
merge3,100000,0.00891535,0.00208100,0.00641000
merge3,1000000,0.10691445,0.02509835,0.07622190
merge3,10000000,1.27277625,0.30195025,0.91110060
